Dataset,Max Depth,Impurity,Train,Test,Time

audiology,3,gini,0.6833333333333333,0.6956521739130435,5.407247066497803
audiology,3,entropy,0.7111111111111111,0.6956521739130435,1.8791098594665527
audiology,4,gini,0.8,0.6739130434782609,9.591752767562866
audiology,4,entropy,0.8111111111111111,0.6521739130434783,10.984498977661133
audiology,5,gini,0.8944444444444445,0.7391304347826086,27.062659978866577
audiology,5,entropy,0.9055555555555556,0.7391304347826086,34.58868098258972
audiology,6,gini,0.95,0.7608695652173914,104.12073588371277
audiology,6,entropy,0.95,0.7391304347826086,147.0494191646576
audiology,7,gini,0.9833333333333333,0.7608695652173914,456.6211361885071
audiology,7,entropy,0.9833333333333333,0.7608695652173914,580.4784379005432
audiology,8,gini,0.9944444444444445,0.782608695652174,826.0047481060028
audiology,8,entropy,0.9944444444444445,0.717391304347826,720.7221293449402

balance-scale,3,gini,0.758,0.632,1.6560301780700684
balance-scale,3,entropy,0.758,0.632,0.16784882545471191
balance-scale,4,gini,0.8,0.648,0.5205800533294678
balance-scale,4,entropy,0.8,0.648,0.4995079040527344
balance-scale,5,gini,0.83,0.68,1.8057529926300049
balance-scale,5,entropy,0.83,0.656,2.027695894241333
balance-scale,6,gini,0.87,0.648,6.711034297943115
balance-scale,6,entropy,0.864,0.696,7.365307807922363
balance-scale,7,gini,0.916,0.664,20.777782201766968
balance-scale,7,entropy,0.914,0.672,22.5041983127594
balance-scale,8,gini,0.942,0.648,58.2694628238678
balance-scale,8,entropy,0.94,0.664,63.941325187683105

breast-cancer,3,gini,0.7894736842105263,0.6724137931034483,0.16780805587768555
breast-cancer,3,entropy,0.7894736842105263,0.7068965517241379,0.15388202667236328
breast-cancer,4,gini,0.8377192982456141,0.7413793103448276,0.4959690570831299
breast-cancer,4,entropy,0.8333333333333334,0.7586206896551724,0.587468147277832
breast-cancer,5,gini,0.868421052631579,0.6379310344827587,2.159057378768921
breast-cancer,5,entropy,0.868421052631579,0.7931034482758621,2.461709976196289
breast-cancer,6,gini,0.9166666666666666,0.603448275862069,8.48439335823059
breast-cancer,6,entropy,0.9078947368421053,0.6724137931034483,8.769457817077637
breast-cancer,7,gini,0.9517543859649122,0.603448275862069,30.649041891098022
breast-cancer,7,entropy,0.9473684210526315,0.6206896551724138,29.95781111717224
breast-cancer,8,gini,0.9736842105263158,0.6551724137931034,105.53364491462708
breast-cancer,8,entropy,0.9736842105263158,0.6206896551724138,98.84699487686157

car,3,gini,0.8162083936324168,0.7630057803468208,0.23447489738464355
car,3,entropy,0.8162083936324168,0.7630057803468208,0.22293519973754883
car,4,gini,0.8596237337192475,0.8063583815028902,0.6123619079589844
car,4,entropy,0.8596237337192475,0.8063583815028902,0.6545648574829102
car,5,gini,0.8972503617945007,0.8526011560693642,2.017204999923706
car,5,entropy,0.8950795947901592,0.838150289017341,2.1172192096710205
car,6,gini,0.934876989869754,0.8930635838150289,6.74704384803772
car,6,entropy,0.934876989869754,0.8930635838150289,6.828727722167969
car,7,gini,0.9696092619392185,0.9190751445086706,22.997628211975098
car,7,entropy,0.9710564399421129,0.9219653179190751,22.50393581390381
car,8,gini,0.9862518089725036,0.9017341040462428,75.77240300178528
car,8,entropy,0.9862518089725036,0.9046242774566474,332.3837730884552

hayes-roth,3,gini,0.7265625,0.75,0.10497212409973145
hayes-roth,3,entropy,0.7265625,0.75,0.08865213394165039
hayes-roth,4,gini,0.828125,0.78125,0.20911383628845215
hayes-roth,4,entropy,0.828125,0.8125,0.22573089599609375
hayes-roth,5,gini,0.890625,0.875,0.7040882110595703
hayes-roth,5,entropy,0.890625,0.875,0.7899219989776611
hayes-roth,6,gini,0.9140625,0.8125,2.1869277954101562
hayes-roth,6,entropy,0.90625,0.84375,2.576624870300293
hayes-roth,7,gini,0.9140625,0.71875,6.506004095077515
hayes-roth,7,entropy,0.9140625,0.78125,7.620357990264893
hayes-roth,8,gini,0.9140625,0.78125,18.22564721107483
hayes-roth,8,entropy,0.9140625,0.65625,19.610671758651733

hiv-1-protease,3,gini,0.8603945371775418,0.8429438543247344,7.714194059371948
hiv-1-protease,3,entropy,0.8603945371775418,0.8429438543247344,7.872122049331665
hiv-1-protease,4,gini,0.8818285280728376,0.8619119878603946,23.705878973007202
hiv-1-protease,4,entropy,0.8818285280728376,0.8619119878603946,25.08625602722168
hiv-1-protease,5,gini,0.8937784522003035,0.8679817905918058,76.92359685897827
hiv-1-protease,5,entropy,0.8937784522003035,0.8679817905918058,84.23944592475891
hiv-1-protease,6,gini,0.9028831562974203,0.8732928679817906,224.507572889328
hiv-1-protease,6,entropy,0.9028831562974203,0.870257966616085,241.6307430267334
hiv-1-protease,7,gini,0.9150227617602428,0.8748103186646434,652.8104770183563
hiv-1-protease,7,entropy,0.9150227617602428,0.874051593323217,712.3262929916382
hiv-1-protease,8,gini,0.9296282245827011,0.8839150227617603,1797.36275100708
hiv-1-protease,8,entropy,0.9288694992412747,0.8899848254931715,2147.5469319820404

kr-vs-kp,3,gini,0.9401408450704225,0.9296875,4.696461200714111
kr-vs-kp,3,entropy,0.9401408450704225,0.9296875,1.1485960483551025
kr-vs-kp,4,gini,0.9428794992175273,0.9328125,4.136908054351807
kr-vs-kp,4,entropy,0.9428794992175273,0.9328125,4.903983116149902
kr-vs-kp,5,gini,0.9534428794992176,0.959375,17.211974143981934
kr-vs-kp,5,entropy,0.9534428794992176,0.959375,12.819652080535889
kr-vs-kp,6,gini,0.9714397496087637,0.9515625,36.7519588470459
kr-vs-kp,6,entropy,0.9714397496087637,0.95625,38.66655111312866
kr-vs-kp,7,gini,0.9874804381846636,0.9828125,113.67852592468262
kr-vs-kp,7,entropy,0.9874804381846636,0.9828125,124.52199196815491
kr-vs-kp,8,gini,0.9937402190923318,0.9796875,296.76496410369873
kr-vs-kp,8,entropy,0.9937402190923318,0.9796875,300.5105278491974

led-display,3,gini,0.5725,0.56,0.156754732131958
led-display,3,entropy,0.6075,0.58,0.14246106147766113
led-display,4,gini,0.74,0.68,0.42984724044799805
led-display,4,entropy,0.75,0.72,0.49764394760131836
led-display,5,gini,0.775,0.67,1.8000872135162354
led-display,5,entropy,0.7825,0.72,2.206207036972046
led-display,6,gini,0.7975,0.68,6.399312973022461
led-display,6,entropy,0.8,0.69,7.807203054428101
led-display,7,gini,0.8,0.7,18.799914121627808
led-display,7,entropy,0.8,0.68,21.09849214553833
led-display,8,gini,0.8,0.7,34.97228121757507
led-display,8,entropy,0.8,0.68,42.06709289550781

lymph,3,gini,0.8983050847457628,0.7333333333333333,0.1854708194732666
lymph,3,entropy,0.8983050847457628,0.7333333333333333,0.1833052635192871
lymph,4,gini,0.9830508474576272,0.7666666666666667,0.6518881320953369
lymph,4,entropy,0.9830508474576272,0.7666666666666667,0.8045921325683594
lymph,5,gini,1.0,0.7333333333333333,2.79915714263916
lymph,5,entropy,1.0,0.8,3.0573980808258057
lymph,6,gini,1.0,0.7333333333333333,8.734675884246826
lymph,6,entropy,1.0,0.7333333333333333,9.373451948165894
lymph,7,gini,1.0,0.7,21.059282064437866
lymph,7,entropy,1.0,0.7333333333333333,24.28268790245056
lymph,8,gini,1.0,0.6666666666666666,41.143489837646484
lymph,8,entropy,1.0,0.7333333333333333,55.005446910858154

molecular-biology-promoters,3,gini,0.9523809523809523,0.9545454545454546,0.40400218963623047
molecular-biology-promoters,3,entropy,0.9523809523809523,0.7272727272727273,0.4183669090270996
molecular-biology-promoters,4,gini,1.0,0.9090909090909091,1.3660049438476562
molecular-biology-promoters,4,entropy,1.0,0.8636363636363636,1.6544227600097656
molecular-biology-promoters,5,gini,1.0,0.8181818181818182,3.49536395072937
molecular-biology-promoters,5,entropy,1.0,0.9090909090909091,4.191978931427002
molecular-biology-promoters,6,gini,1.0,0.6818181818181818,5.54035496711731
molecular-biology-promoters,6,entropy,1.0,0.8181818181818182,7.926104784011841
molecular-biology-promoters,7,gini,1.0,0.6818181818181818,6.971970796585083
molecular-biology-promoters,7,entropy,1.0,0.8181818181818182,12.658823013305664
molecular-biology-promoters,8,gini,1.0,0.6818181818181818,7.9562647342681885
molecular-biology-promoters,8,entropy,1.0,0.8181818181818182,15.41443419456482

molecular-biology-splice,3,gini,0.8867554858934169,0.8981191222570533,4.250269889831543
molecular-biology-splice,3,entropy,0.8867554858934169,0.8981191222570533,4.495561838150024
molecular-biology-splice,4,gini,0.9204545454545454,0.9373040752351097,14.68144416809082
molecular-biology-splice,4,entropy,0.9200626959247649,0.9263322884012539,14.13778018951416
molecular-biology-splice,5,gini,0.947884012539185,0.9435736677115988,49.36625576019287
molecular-biology-splice,5,entropy,0.947884012539185,0.9435736677115988,44.853683948516846
molecular-biology-splice,6,gini,0.9608150470219435,0.9435736677115988,167.6199278831482
molecular-biology-splice,6,entropy,0.9608150470219435,0.9435736677115988,147.33342003822327
molecular-biology-splice,7,gini,0.97923197492163,0.9247648902821317,566.8964049816132
molecular-biology-splice,7,entropy,0.9776645768025078,0.9231974921630094,490.0981960296631
molecular-biology-splice,8,gini,0.9917711598746082,0.9043887147335423,1910.1614799499512
molecular-biology-splice,8,entropy,0.9933385579937304,0.9106583072100314,1600.05073428154

monks-1,3,gini,0.8468468468468469,0.8660714285714286,0.22919702529907227
monks-1,3,entropy,0.8468468468468469,0.8660714285714286,1.4561660289764404
monks-1,4,gini,0.9324324324324325,0.8928571428571429,1.2981979846954346
monks-1,4,entropy,0.9324324324324325,0.8928571428571429,0.45171213150024414
monks-1,5,gini,1.0,0.9821428571428571,1.705613136291504
monks-1,5,entropy,1.0,0.9821428571428571,1.8991808891296387
monks-1,6,gini,1.0,0.9910714285714286,6.902956008911133
monks-1,6,entropy,1.0,0.9910714285714286,7.733864068984985
monks-1,7,gini,1.0,0.9196428571428571,27.073475122451782
monks-1,7,entropy,1.0,0.9196428571428571,30.57905673980713
monks-1,8,gini,1.0,0.8214285714285714,91.66921401023865
monks-1,8,entropy,1.0,0.8214285714285714,103.02416396141052

monks-2,3,gini,0.6833333333333333,0.5785123966942148,0.16507697105407715
