Dataset,Max Depth,Impurity,Train,Test,Time

artificial-characters,3,gini,0.300587227795449,0.2901174168297456,7.12485933303833
artificial-characters,3,entropy,0.314900905309518,0.31702544031311153,5.410484552383423
artificial-characters,4,gini,0.375948128211402,0.36545988258317025,20.36766242980957
artificial-characters,4,entropy,0.41008074382187426,0.4041095890410959,20.54151177406311
artificial-characters,5,gini,0.45754832395400047,0.43737769080234834,73.02836513519287
artificial-characters,5,entropy,0.4745534621972107,0.46135029354207435,75.03581309318542
artificial-characters,6,gini,0.541962319549792,0.5117416829745597,257.02686858177185
artificial-characters,6,entropy,0.5532175189625642,0.541095890410959,269.78907012939453
artificial-characters,7,gini,0.6025201859554685,0.562133072407045,930.4095754623413
artificial-characters,7,entropy,0.6113286028872034,0.5807240704500979,999.0674872398376
artificial-characters,8,gini,0.6565940787863959,0.6120352250489237,3446.0467171669006
artificial-characters,8,entropy,0.6661365304624419,0.6306262230919765,3824.8439252376556

credit-card,3,gini,0.8213333333333334,0.8225,10.964896440505981
credit-card,3,entropy,0.8213333333333334,0.8225,10.279749631881714
credit-card,4,gini,0.823,0.8221666666666667,33.51709055900574
credit-card,4,entropy,0.8227916666666667,0.8216666666666667,34.87222504615784
credit-card,5,gini,0.824875,0.822,104.83432579040527
credit-card,5,entropy,0.8247083333333334,0.8215,111.32753038406372
credit-card,6,gini,0.827625,0.8198333333333333,334.063024520874
credit-card,6,entropy,0.8275833333333333,0.8221666666666667,361.34269666671753
credit-card,7,gini,0.832625,0.8153333333333334,1116.3972172737122
credit-card,7,entropy,0.832,0.8211666666666667,1212.759818315506
credit-card,8,gini,0.84,0.8106666666666666,3834.454881668091
credit-card,8,entropy,0.8389583333333334,0.8128333333333333,4251.591006755829

telescope,3,gini,0.8078338590956887,0.8154574132492114,6.027591228485107
telescope,3,entropy,0.8078338590956887,0.8154574132492114,5.131445646286011
telescope,4,gini,0.8302444794952681,0.8393796004206099,18.56282091140747
telescope,4,entropy,0.8287986330178759,0.8378023133543638,18.871530294418335
telescope,5,gini,0.8456887486855941,0.8472660357518401,69.67073154449463
telescope,5,entropy,0.8450315457413249,0.8451629863301787,71.3868613243103
telescope,6,gini,0.857912723449001,0.8580441640378549,264.7804665565491
telescope,6,entropy,0.857058359621451,0.8585699263932702,273.00743794441223
telescope,7,gini,0.8713853838065194,0.8512092534174553,1033.6702828407288
telescope,7,entropy,0.8702681388012619,0.8533123028391167,1061.182472229004
telescope,8,gini,0.8878154574132492,0.8525236593059937,4070.54669880867
telescope,8,entropy,0.8858438485804416,0.8501577287066246,4354.353585481644

spambase,3,gini,0.803804347826087,0.8056460369163952,2.0024325847625732
